RedniBroj,Takson,Brojnost,Pokrovnost,Spratovnost,Broj_snimka,pokrovnost_snimka_po_zonama,Datum,Lokalitet,Vlažnost_Kojić1997,Kiselost_Kojić1997,Azot_Kojić1997,Svetlost_Kojić1997,Temperatura_Kojić1997,sintaksonomski element,LIGHT_Tichy_etal2023,TEMPERATURE_Tichy_etal2023,MOISTURE_Tichy_etal2023,REACTION_Tichy_etal2023,NUTRIENTS_Tichy_etal2023,SALINITY_Tichy_etal2023
85,Fraxinus ornus,2,4,B2,8,"B2 - 20%; C - 30%; C1 - 30%, kamen 70%",24.4.2023,okolina Svrljiga,2,4,2,3,4,"1,1 - Klasa Querco-Fagetea Br.-Bl. et Vlieg. 1937: listopadne šume i šibljaci na bogatijem neutralnom, baznom ili slabo kiselom zemljištu",x,x,3.9,7.6,3.4,0
86,Crataegus monogyna,1,1,B2,8,"B2 - 20%; C - 30%; C1 - 30%, kamen 70%",24.4.2023,okolina Svrljiga,3,4,2,4,3,"1,113 - Sveza Quercion frainetoo Ht. 1954: Šumkse zajednice pretežno klimatogenog karaktera (Srbije, delovi Rumunije i Bugarske), u nižem pojasu, sa izraženom kontinentalnom klimom",7,x,4.4,x,x,0
87,Cornus sanguinea,1,1,B2,8,"B2 - 20%; C - 30%; C1 - 30%, kamen 70%",24.4.2023,okolina Svrljiga,3,4,3,3,3,"1,15 - Red Prunetalia spinosae R.Tx. 1952: Vegetacija šibljaka sa dominacijm vrsta roda Prunus",7,x,x,7.5,4.8,0
88,Carpinus orientalis,1,1,B2,8,"B2 - 20%; C - 30%; C1 - 30%, kamen 70%",24.4.2023,okolina Svrljiga,2,5,1,4,4,"1,11 - Red Quercetalia pubescentis Br.-Bl. 1932: Kserotermofilne, svetle zajednice šuma, šikara i šibljaka",4.7,7.4,4,7.5,4.5,0
89,Silene vulgaris,1,1,C,8,"B2 - 20%; C - 30%; C1 - 30%, kamen 70%",24.4.2023,okolina Svrljiga,2,3,2,4,3,"5,1 - Klasa Molinio-Arrhenatheretea R.Tx. 1937: Higro-mezofilne livadske zajednice",7.8,x,4.1,7.1,3.4,0.1
90,Teucrium chamaedrys,4,4,C,8,"B2 - 20%; C - 30%; C1 - 30%, kamen 70%",24.4.2023,okolina Svrljiga,1,4,1,4,3,"5,21 - Red Brometalia erecti Br.Bl. 1936: Subatlantsko-submediteranske livadske zajednice, uglavnom kserofilnog karaktera",7.4,6.5,2.6,8,1.6,0
91,MAHOVINE1,0,0,C1,8,"B2 - 20%; C - 30%; C1 - 30%, kamen 70%",24.4.2023,okolina Svrljiga,0,0,0,0,0,nema,nema,nema,nema,nema,nema,nema
92,Carex halleriana,2,2,C,8,"B2 - 20%; C - 30%; C1 - 30%, kamen 70%",24.4.2023,okolina Svrljiga,1,4,2,3,4,nema,x,x,2.8,7.6,2.8,0
93,Pinus sylvestris,1,2,B2,8,"B2 - 20%; C - 30%; C1 - 30%, kamen 70%",24.4.2023,okolina Svrljiga,3,3,2,4,3,"2,212 - Sveza Orno-Ericion Ht. 1958: Borovo-crnušine šume, odn. šume crnog i belog bora, na dolomitima ili serpentinima, a ponekad se javljaju i na krečnjacima, ali tada su zajednice drugačije građene i imaju drugu sintaksonomsku pripadnost",7.2,x,5.2,3.8,2,0
94,MAHOVINE2,0,0,C1,8,"B2 - 20%; C - 30%; C1 - 30%, kamen 70%",24.4.2023,okolina Svrljiga,0,0,0,0,0,nema,nema,nema,nema,nema,nema,nema
95,Ophrys grammica,1,1,C,9,B2 - 70%; C - 20%; C1 - 50%; 20% zemlja,24.4.2023,Svrljiške planine - put ka crkvi Svete Petke,0,0,0,0,0,nema,nema,nema,nema,nema,nema,nema
